dataset_id,disease,data_type,source,accession,description,n_samples,species,tissue,cell_types,access_type,download_url,download_instructions,paper_doi,paper_citation,last_verified
replogle_k562,healthy,perturb-seq,figshare,19968745,Genome-wide Perturb-seq: ~11000 single-gene CRISPR knockdowns in K562 cells. Pseudo-bulk h5ad with expression changes across ~8000 genes per knockdown.,~220000,human,K562 cell line,K562 (CML),open,https://figshare.com/ndownloader/files/35773219,Download the h5ad file (~2.7 GB). Run setup.py to process into parquet format.,10.1016/j.cell.2022.11.026,Replogle et al. 2022 Cell,2026-03-20
velmeshev_2019_asd,autism,snRNA-seq,GEO,GSE132672,Single-nucleus RNA-seq of prefrontal cortex and anterior cingulate cortex from 41 post-mortem samples (15 ASD + 16 control + 10 epilepsy). Cell-type-specific DE across 17 cell types.,41,human,prefrontal cortex,17 cell types including excitatory/inhibitory neurons and glia,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132672,1. Go to GEO page. 2. Download supplementary files (processed counts). 3. OR download Table S5 from the Science paper (cell-type-specific DE results): https://www.science.org/doi/10.1126/science.aav8130,10.1126/science.aav8130,Velmeshev et al. 2019 Science,2026-03-20
gandal_2022_asd,autism,bulk RNA-seq,Synapse,syn21349974,Bulk RNA-seq of 725 brain samples across 11 cortical areas from 112 post-mortem brains (49 ASD + 63 control). 4200 DE genes. Largest cortex-wide ASD transcriptome study.,725,human,cerebral cortex (11 regions),bulk tissue,login_required,https://www.synapse.org/#!Synapse:syn21349974,1. Create free Synapse account at synapse.org. 2. Request access to PsychENCODE data. 3. Download processed DE tables from syn21349974.,10.1038/s41586-022-05377-7,Gandal et al. 2022 Nature,2026-03-20
gandal_2018_crossdisorder,autism;schizophrenia;bipolar,bulk RNA-seq,Synapse,syn12080241,Transcriptome-wide isoform-level analysis of 1695 post-mortem brain samples across ASD + SCZ + BD. Cross-disorder DE and splicing results.,1695,human,cortex,bulk tissue,login_required,https://www.synapse.org/#!Synapse:syn12080241,1. Create free Synapse account. 2. Request PsychENCODE access. 3. Download DER-13 (DE genes) and DER-14 (DE transcripts).,10.1126/science.aat8127,Gandal et al. 2018 Science,2026-03-20
psychencode_2024_asd,autism,snRNA-seq,Synapse,syn51080112,PsychENCODE Phase II: snRNA-seq of 388 post-mortem brains (ASD + SCZ + BD + control). 28 cell types. Largest single-cell psychiatric dataset.,388,human,cortex,28 cell types,login_required,https://psychencode.synapse.org/,1. Create Synapse account. 2. Apply for data access through PsychENCODE portal. 3. Download processed count matrices and DE tables.,10.1126/science.adi5199,PsychENCODE Consortium 2024 Science,2026-03-20
velmeshev_2023_dev,autism;developmental,snRNA-seq,GEO,GSE214012,Single-cell atlas of human brain development from 45 days to 40 years. Includes ASD-relevant developmental trajectories.,unknown,human,whole brain developmental,>100 cell types,open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214012,Download from GEO supplementary files. Large dataset - check storage requirements.,10.1126/science.adf0834,Velmeshev et al. 2023 Science,2026-03-20
replogle_rpe1,healthy,perturb-seq,figshare,19968745,Genome-wide Perturb-seq in RPE1 cells (non-cancer human retinal pigment epithelial). Complements K562 data with a non-cancer cell line.,~100000,human,RPE1 cell line,RPE1,open,https://figshare.com/articles/dataset/Replogle_GWPS/19968745,Download the RPE1 h5ad file from the same Figshare deposit as K562. Process with setup.py --cell-line rpe1.,10.1016/j.cell.2022.11.026,Replogle et al. 2022 Cell,2026-03-20
tcga_pan_cancer,cancer,bulk RNA-seq,GDC,TCGA,TCGA Pan-Cancer Atlas: RNA-seq across 33 cancer types and matched normal tissue. DE analysis available per cancer type.,>11000,human,multiple,bulk tissue,open,https://portal.gdc.cancer.gov/,1. Go to GDC Data Portal. 2. Select cancer type. 3. Download gene expression quantification files. 4. DE analysis can be performed with DESeq2 or use published DE tables from TCGA publications.,10.1016/j.cell.2018.03.042,TCGA Network 2018 Cell,2026-03-20
gtex_v8,healthy,bulk RNA-seq,GTEx Portal,GTEx_v8,Gene expression across 54 human tissues from 948 donors. Baseline (healthy) reference. Useful for tissue-specificity context rather than disease DE.,17382,human,54 tissues,bulk tissue,open,https://gtexportal.org/home/downloads/adult-gtex/bulk_tissue_expression,1. Go to GTEx portal. 2. Download TPM or read count matrices. 3. Tissue-specific expression can serve as a baseline reference.,10.1126/science.aaz1776,GTEx Consortium 2020 Science,2026-03-20
commonmind_scz,schizophrenia,bulk RNA-seq,Synapse,syn2759792,CommonMind Consortium: RNA-seq of dorsolateral prefrontal cortex from 258 SCZ + 279 control subjects. Well-powered bulk DE study.,537,human,dorsolateral prefrontal cortex,bulk tissue,login_required,https://www.synapse.org/#!Synapse:syn2759792,1. Create Synapse account. 2. Apply for CommonMind Consortium access. 3. Download normalized expression and DE tables.,10.1038/nn.4399,Fromer et al. 2016 Nat Neurosci,2026-03-20
